id,cluster
00000369,0
00001017,0
00001013,0
00000436,0
00000244,0
00000957,0
00000656,0
00000325,0
00000107,0
00000368,0
00000891,0
00000104,0
00000660,0
00000251,0
00000101,0
00000998,0
00001000,0
00001044,0
00000954,0
00000365,0
00000999,0
00000788,0
00000248,0
00000920,0
00000820,0
00000370,0
00000358,0
00000960,0
00001002,0
00000226,0
00000967,0
00000658,0
00000966,0
00000921,0
00000233,0
00000994,0
00001003,0
00000243,0
00000327,0
00000359,0
00000889,0
00000247,0
00000103,0
00000922,0
00000819,0
00000955,0
00000591,0
00000245,0
00000308,0
00000996,0
00000888,0
00000958,0
00000997,0
00000892,0
00000870,0
00000663,0
00000357,0
00000956,0
00000309,0
00000329,0
00000874,0
00000986,0
00000362,0
00000626,0
00000363,0
00000246,0
00000381,0
00000324,0
00000361,0
00000968,0
00000772,0
00000209,0
00001001,0
00000659,0
00000961,0
00000367,0
00000887,0
00001045,0
00000328,0
00000923,0
00000364,0
00000360,0
00000530,1
00000065,1
00000912,1
00000784,1
00000713,1
00000876,1
00000055,1
00000720,1
00000160,1
00000224,1
00000034,1
00000021,1
00000811,1
00000528,1
00000057,1
00000976,1
00000049,1
00000523,1
00000758,1
00000514,1
00000884,1
00000168,1
00000521,1
00000886,1
00000335,1
00000003,1
00000789,1
00000846,1
00000937,1
00000240,1
00000822,1
00000910,1
00000520,1
00000896,1
00000304,1
00000022,1
00000935,1
00000583,1
00000539,1
00000636,1
00000845,1
00000161,1
00000841,1
00000831,1
00000790,1
00000334,1
00000078,1
00000596,1
00000603,1
00000058,1
00000978,1
00000773,1
00000791,1
00000964,1
00000479,1
00000033,1
00000032,1
00000519,1
00000031,1
00000529,1
00000331,1
00000408,1
00000086,1
00000833,1
00000450,1
00000054,1
00000909,1
00000977,1
00000538,1
00000035,1
00000164,1
00000071,1
00000710,1
00000051,1
00000630,1
00000333,1
00000041,1
00000801,1
00000907,1
00000085,1
00000547,1
00000830,1
00000088,1
00000167,1
00000052,1
00000306,1
00000924,1
00000947,1
00000064,1
00000624,1
00000536,1
00000522,1
00000915,1
00000634,1
00000239,1
00000302,1
00000595,1
00000039,1
00000030,1
00000834,1
00001051,1
00000540,1
00000525,1
00000435,1
00000207,1
00000872,1
00000066,1
00000060,1
00001050,1
00000037,1
00000655,1
00000757,1
00000062,1
00000038,1
00000093,1
00000985,1
00000963,1
00000330,1
00000913,1
00000806,1
00000883,1
00000629,1
00000708,1
00000518,1
00000434,1
00000633,1
00001047,1
00000627,1
00000305,1
00000812,1
00000059,1
00000877,1
00000537,1
00000541,1
00000709,1
00001015,1
00000885,1
00000755,2
00000456,2
00000746,2
00001024,2
00000013,2
00000017,2
00000488,2
00000014,2
00000396,2
00000417,2
00000639,2
00000470,2
00000180,2
00000236,2
00000741,2
00000319,2
00000496,2
00000943,2
00000269,2
00000723,2
00000351,2
00000398,2
00000176,2
00000769,2
00000764,2
00000848,2
00000460,2
00000939,2
00000698,2
00000719,2
00000946,2
00000743,2
00000814,2
00000504,2
00000797,2
00000152,2
00000229,2
00000349,2
00000992,2
00000692,2
00001040,2
00000189,2
00000905,2
00000641,2
00000938,2
00000993,2
00000338,2
00000471,2
00000555,2
00000492,2
00000303,2
00000046,2
00000950,2
00000144,2
00000155,2
00000796,2
00000621,2
00001014,2
00000767,2
00001034,2
00000944,2
00000756,2
00000749,2
00000344,2
00000506,2
00000771,2
00000742,2
00000826,2
00000865,2
00000617,2
00001023,2
00001010,2
00000679,2
00000640,2
00000154,2
00000642,2
00000132,2
00000647,2
00000395,2
00000736,2
00000427,2
00000175,2
00000676,2
00000315,2
00000472,2
00000043,2
00000082,2
00000270,2
00000792,2
00000225,2
00000864,2
00000016,2
00000813,2
00000393,2
00000495,2
00000348,2
00000323,2
00000649,2
00000271,2
00001029,2
00001022,2
00000721,2
00000732,2
00000823,2
00000346,2
00000928,2
00000153,2
00000704,2
00000007,2
00000397,2
00000765,2
00000949,2
00000459,2
00000318,2
00000227,2
00000320,2
00000484,2
00001008,2
00000455,2
00000228,2
00000198,2
00000770,2
00000689,2
00000693,2
00000932,2
00000178,2
00000925,2
00000230,2
00000945,2
00000716,2
00000584,2
00000940,2
00000675,2
00000151,2
00000006,2
00000465,2
00000217,2
00000987,2
00000113,2
00000123,2
00000281,2
00000011,2
00000461,2
00000343,2
00000112,2
00000507,2
00000684,2
00000620,2
00000706,2
00000804,2
00000182,2
00000237,2
00000927,2
00000443,2
00000339,2
00000314,2
00000008,2
00000505,2
00001020,2
00000903,2
00000866,2
00000015,2
00000931,2
00000988,2
00000646,2
00000678,2
00000347,2
00000394,2
00000665,3
00000119,3
00000983,3
00000933,3
00000292,3
00000953,3
00000808,3
00000146,3
00000285,3
00000625,3
00000206,3
00000652,3
00000602,3
00000667,3
00000447,3
00000782,3
00000575,3
00000739,3
00000117,3
00001026,3
00000730,3
00000673,3
00000835,3
00000147,3
00000601,3
00000118,3
00000116,3
00000277,3
00000252,3
00000440,3
00000565,3
00000948,3
00000173,3
00000287,3
00001031,3
00000952,3
00001036,3
00000607,3
00000578,3
00000600,3
00000598,3
00000878,3
00000775,3
00000632,3
00000798,3
00000776,3
00000780,3
00000599,3
00000222,3
00000399,3
00000027,3
00000572,3
00000774,3
00000221,3
00000837,3
00000722,3
00000745,3
00000126,3
00000080,3
00000028,3
00000568,3
00000356,3
00000127,3
00000288,3
00001039,3
00000253,3
00000231,3
00000585,3
00000916,3
00000263,3
00000581,3
00000668,3
00000672,3
00000580,3
00000204,3
00000513,3
00000429,3
00000259,3
00000354,3
00000312,3
00000809,3
00000311,3
00000266,3
00000781,3
00000260,3
00000533,3
00000143,3
00000975,3
00000682,3
00000234,3
00000844,3
00000462,3
00000025,3
00000276,3
00000254,3
00000122,3
00000286,3
00000454,3
00000951,3
00000653,3
00000906,3
00000838,3
00000531,3
00000681,3
00000566,3
00000264,3
00000981,3
00000974,3
00000183,3
00000759,3
00000832,3
00000879,3
00000275,3
00000902,3
00000534,3
00000294,3
00000491,3
00000437,3
00000185,3
00000587,3
00000415,3
00000516,3
00000740,3
00000882,3
00000569,3
00000133,4
00000750,4
00000115,4
00000191,4
00000140,4
00000637,4
00000340,4
00000241,4
00000748,4
00000560,4
00000793,4
00000468,4
00001035,4
00000691,4
00000604,4
00000671,4
00000839,4
00000517,4
00000836,4
00000929,4
00000904,4
00000670,4
00000121,4
00000669,4
00000970,4
00000677,4
00000643,4
00000449,4
00000337,4
00000193,4
00000686,4
00000825,4
00001021,4
00000795,4
00000897,4
00000571,4
00000666,4
00000762,4
00000045,4
00000040,4
00000018,4
00000628,4
00000186,4
00000674,4
00000342,4
00000194,4
00000172,4
00000690,4
00000894,4
00000190,4
00000188,4
00000166,4
00000895,4
00000174,4
00000467,4
00000535,4
00000197,4
00000195,4
00000310,4
00000120,4
00001033,4
00000694,4
00000570,4
00000148,4
00000125,4
00000091,4
00000278,4
00000487,4
00000165,4
00000249,4
00000391,4
00000744,4
00000805,4
00000911,4
00000508,4
00000476,4
00000490,4
00000562,4
00000651,4
00000218,4
00000042,4
00000124,4
00000526,4
00000524,4
00001025,4
00000466,4
00000156,4
00001027,4
00000908,4
00001028,4
00000474,4
00000683,4
00000446,4
00000543,4
00000615,4
00000794,4
00000179,4
00000220,4
00000645,4
00000980,4
00000036,4
00000760,4
00000527,4
00000295,4
00000298,4
00000477,4
00000803,4
00000145,4
00000184,4
00000512,4
00000457,4
00000389,4
00000648,4
00000029,4
00000265,4
00000685,4
00000800,4
00000843,4
00000577,4
00000114,4
00000561,4
00000973,4
00000899,4
00000336,4
00000868,4
00000576,4
00001011,4
00000563,4
00000048,4
00000542,4
00000971,4
00000644,4
00001005,4
00000972,4
00000847,4
00000205,4
00000307,4
00000654,4
00000779,4
00000280,4
00000150,4
00000448,4
00000914,4
00000486,4
00000141,4
00000582,4
00000777,4
00000478,4
00000053,4
00000158,4
00000469,4
00000664,4
00000026,4
00000130,4
00000313,4
00000687,4
00000930,4
00000056,4
00000807,4
00000301,4
00000688,4
00000475,4
00000751,4
00000299,4
00000413,4
00000464,4
00000157,4
00000044,4
00001009,4
00000650,4
00000087,4
00000452,4
00000840,4
00000532,4
00000638,4
00000616,4
00000196,4
00000489,4
00000766,4
00000332,4
00000142,4
00000139,4
00000187,4
00000984,4
00000680,4
00000458,4
00000473,4
00000024,4
00000559,4
00000149,4
00000089,4
00000004,4
00000192,4
00000567,4
00000300,4
00000842,4
00001030,4
00000544,4
00000326,5
00000106,5
00000076,5
00000383,5
00000593,5
00000377,5
00000373,5
00000297,5
00000387,5
00000095,5
00000073,5
00000019,5
00000590,5
00000094,5
00000439,5
00000402,5
00000936,5
00000855,5
00000859,5
00000589,5
00000380,5
00000208,5
00000210,5
00000875,5
00000857,5
00000376,5
00000433,5
00000374,5
00000072,5
00000063,5
00000549,5
00000242,5
00000099,5
00000411,5
00000856,5
00000372,5
00000422,5
00001019,5
00000366,5
00000213,5
00000412,5
00000170,5
00000067,5
00000714,5
00000869,5
00000216,5
00000419,5
00000481,5
00000378,5
00000135,5
00000451,5
00000438,5
00000423,5
00000401,5
00000211,5
00000969,5
00000871,5
00000379,5
00000020,5
00000424,5
00000068,5
00000050,5
00000047,5
00000131,5
00000092,5
00000002,5
00000352,5
00000386,5
00000715,5
00000382,5
00000169,5
00000074,5
00000371,5
00000096,5
00001018,5
00000400,5
00000410,5
00000962,5
00000821,5
00000873,5
00000079,5
00000727,5
00000858,5
00000783,5
00000138,5
00000097,5
00001012,5
00000098,5
00000420,5
00000137,5
00000934,5
00001046,5
00000725,5
00000077,5
00000081,5
00000005,5
00000385,5
00000250,5
00000105,5
00000384,5
00000480,5
00000854,5
00000711,5
00000995,5
00000075,5
00000898,5
00000090,5
00001052,5
00000083,5
00000597,5
00000070,5
00001043,5
00000631,5
00000441,5
00000712,5
00000409,5
00000102,5
00000890,5
00000407,5
00000100,5
00000403,5
00000893,5
00000965,5
00000375,5
00000959,5
00001016,5
00000635,5
00001042,5
00000069,5
00000296,6
00000919,6
00000262,6
00000219,6
00000108,6
00000861,6
00000901,6
00000588,6
00000162,6
00000880,6
00000564,6
00000291,6
00000353,6
00000862,6
00001032,6
00000799,6
00000279,6
00000163,6
00000573,6
00000261,6
00000293,6
00000747,6
00001004,6
00000201,6
00000202,6
00000355,6
00000778,6
00000199,6
00000159,6
00001038,6
00000257,6
00000824,6
00000579,6
00000917,6
00000256,6
00000860,6
00000881,6
00001037,6
00000586,6
00000200,6
00000574,6
00000918,6
00000515,6
00000109,6
00000284,6
00000289,6
00000900,6
00000258,6
00000290,6
00000416,6
00000979,6
00000414,6
00000282,6
00000982,6
00000255,6
00000235,6
00000283,6
00000203,6
00000238,7
00000733,7
00000763,7
00001048,7
00000499,7
00000268,7
00000345,7
00000498,7
00000554,7
00000942,7
00000734,7
00000341,7
00000802,7
00000619,7
00000818,7
00000605,7
00000061,7
00000705,7
00000863,7
00000852,7
00000421,7
00000618,7
00000612,7
00000592,7
00000012,7
00000428,7
00000850,7
00000453,7
00001049,7
00000317,7
00000432,7
00000426,7
00000594,7
00000442,7
00000136,7
00000321,7
00000009,7
00000274,7
00000989,7
00000662,7
00000611,7
00000718,7
00000497,7
00000129,7
00000445,7
00000558,7
00000697,7
00000390,7
00000613,7
00000941,7
00000545,7
00000816,7
00000787,7
00000768,7
00000737,7
00000494,7
00000485,7
00000724,7
00000444,7
00000726,7
00000404,7
00000431,7
00000551,7
00000084,7
00000272,7
00000817,7
00000991,7
00000849,7
00000000,7
00000509,7
00000214,7
00000463,7
00000728,7
00000350,7
00000702,7
00000610,7
00000023,7
00000557,7
00001006,7
00000232,7
00000267,7
00000614,7
00000501,7
00000556,7
00000608,7
00000753,7
00000553,7
00000171,7
00000815,7
00000406,7
00000828,7
00000322,7
00000609,7
00000738,7
00000926,7
00001041,7
00000606,7
00000316,7
00000701,7
00000483,7
00000735,7
00000829,7
00000511,7
00000493,7
00000550,7
00000731,7
00000729,7
00000623,7
00000405,7
00000418,7
00000503,7
00000990,7
00000001,7
00000502,7
00000134,7
00000717,7
00000754,7
00000510,7
00000010,7
00000785,7
00000699,7
00000546,7
00001007,7
00000128,7
00000181,7
00000853,7
00000110,7
00000482,7
00000695,7
00000810,7
00000851,7
00000867,7
00000786,7
00000552,7
00000661,7
00000827,7
00000425,7
00000430,7
00000388,7
00000500,7
00000223,7
00000752,7
00000177,7
00000212,7
00000657,7
00000703,7
00000707,7
00000111,7
00000273,7
00000700,7
00000548,7
00000696,7
00000215,7
00000392,7
00000622,7
00000761,7
